Pytanie;Poprawna odpowiedz; druga opcja; trzecia opcja; czwarta opcja;
Ile procent obietości całego ciała stanowi woda u doroslego czlowieka;60-70%;10-20%;80-90%;30-40%;
Z ilu kości składa sie szkielet dorosłego człowieka;206;187;301;454;
Czy szkielet dziecka posiada tyle samo kosci co szkielet doroslego czlowieka;Nie, posiada wiecej;Tak, posiada tyle samo;Nie, posiada mniej;Szkielet dziecka przypomina szkielet psa;
Ile litrów krwi ma w sobie człowiek o przeciętnej masie ciała;ok.5-6l;ok.7,5l;ok.3-4l;ok.2l;
Ile kregów ma człowiek;33 lub 34;40 lub 41;30;24 lub 26;
Ile par żeber ma człowiek;12;10;24;16;
Ile zebów ma dorosły człowiek;32;tyle ile u zostanie;36;28;
Jak nazywają sie krwinki czerwone;erytrocyty;trombocyty;lekocyty;limfacyty;
Ile bakterii żyje na cm kwadratowym skóry człowieka;10 mln;0,5mln;5mln;3mln;
Ile wlosow znajduje sie na głowie przecietnego człowieka;100-150 tysiecy;50-100 tysiecy;200-250 tysiecy;600-800 tysiecy;
Najmniejsza kosc w organięąĹźmie człowieka to;strzemiączko;kość skroniowa;kość łokciowa;kość śródstopia;
Najwieksza kość w organięąĹźmie człowieka to;kość udowa;kość piszczelowa;kość ramienna;kość strzalkowa;
Czy serce człowieka jest unerwione;tak;serce człowieka to tylko krew;nie;serce człowieka to tkanka tłuszczowa;
Ile mieśni posiada człowiek;ok.650;ok.250;o.1500;ok.100;
Ile uderzeń na minutę wynosi średni puls przeciętnego człowieka;60-90;120-140;30-40;220-240;
Ile martwej skóry zrzuca człowiek w ciągu całego życia;ok.18 kg;ok.2 kg;ok.20 kg;ok.12 kg;
Najgrubszym i najdłuższym nerwem ludzkiego organizmu jest;nerw kulszowy;nerw udowy;nerw pośladkowy;nerw zasłonowy;
Do szkieletu klatki piersiowej nie nalezy;obojczyk; mostek;żebra;kręgi klatki pieriowej;
Ile par nerwów rdzeniowych występuje u człowieka;31;12;43;15
Od jakich słów rozpoczyna się każda część Gwiezdnych Wojen;Dawno,dawno temy w odległej galaktyce;Dawno, dawno temu w gwiezdnej galaktyce;Dawno, dawno temu w oddalonej galaktyce;Dawno. dawno temu na odległej planecie;
